unspsc,root_domain,page_url,product_title,brand,eco_friendly,merged_description,product_identifier,intended_industries,applicability,ethical_and_sustainability_practices,materials,ingredients,manufacturing_countries,manufacturing_type,customization,packaging_type,form,quality_standards_and_certifications,miscellaneous_features,production_capacity,price,size,color,purity,energy_efficiency,pressure_rating,power_rating
Food and beverage dispensing equipment,quenchwater.com,https://quenchwater.com/industry/gyms/,Quench 580 Countertop Water Dispenser,Quench,True,"The Quench 580 is a countertop water dispenser designed to provide endless filtered water for retail staff. It features advanced filtration, touchless sensor dispensing, LED UV technology, and antimicrobial surface protection. The dispenser is NSF/ANSI 372 certified for lead-free filter compliance, NSF/ANSI 42 for drinking water treatment units, and NSF/ANSI 53 for health effects. It also includes BioCote antimicrobial protection and is designed for easy installation and regular servicing.",[],"['Healthcare', 'Retail']","['Providing Filtered Water', 'Still And Sparkling Water Dispensing']",[],[],[],[],[],[],[],[],"['NSF/ANSI 372', 'NSF/ANSI 42', 'NSF/ANSI 53']","['LED UV technology', 'Touchless sensor dispensing', 'BioCote antimicrobial protection', 'Sanitary touchless dispensing', 'Antimicrobial surface protection', 'Point-of-use filtration']",[],[],[],[],[],[],[],[]
Printing and writing paper,quill.com,https://www.quill.com/quill-value-brands/cbx/344.html?filters=Category_C_Lamps+&+Lighting?filter=Category_C_Lamps+%26+Lighting%7c%24%7ccategory_safety+supplies,"Quill Brand® 30% Recycled Colored Multipurpose Paper, 20 lbs., 8.5"" x 11"", Canary Yellow, 500 sheets/Ream",Quill Brand,,"""Quill Brand 30% Recycled Colored Multipurpose Paper, 20 lbs., 8.5\"" x 11\"", Canary Yellow, 500 sheets/Ream"" is a versatile paper product, suitable for various applications, featuring a canary yellow color and a recycled content of 30%.",[],['Office Supplies'],['multipurpose paper use'],[],[],[],[],[],[],[],[],[],"['Item #: 901-720563', 'Item #: 901-720571']",[],"[{'amount': 15.989999771118164, 'currency': 'USD', 'type': 'exact'}]","[{'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '8.5'}, {'dimension': 'Width', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '11'}, {'dimension': 'Weight', 'qualitative': False, 'type': 'exact', 'unit': 'lbs', 'value': '20'}]","[{'original': 'Canary Yellow', 'simple': 'Yellow'}]",[],[],[],[]
Camera accessories,slikusa.com,https://slikusa.com/products/r-pro-al-523-3w-kit?pr_prod_strat=e5_desc&pr_rec_id=18c6b6ee1&pr_rec_pid=8360877392113&pr_ref_pid=7036454142107&pr_seq=uniform,R-PRO AL-523-3W Kit,,,"The R-PRO AL-523-3W Kit is a comprehensive tripod system designed to enhance photography stability and versatility. Priced at $149.99, down from its regular price of $189.95, this kit includes the PRO AL-523 3-section tripod legs and the SH-747 Arca-Type 3-way pan and tilt head. The legs are constructed from all-aluminum, featuring a collar and leg-joint system that improves torsion strength and reduces vibration. The legs are equipped with 3 sections that deploy and lock using lever locks, making them easy to operate even with gloves. The kit offers a maximum height of 79 inches with the column extended and a folded length of 26.2 inches, weighing 5.2 lbs. The legs can support a maximum load of 13.2 lbs. The SH-747 head is Arca-compatible and features a new Arca-Compatible Dual-Stage quick-release platform, allowing for quick and easy adjustments. It includes a reversible column that can be separated into two sections for reduced weight and to position the camera at the lowest possible height. The head also features a bubble level on the main collar for horizon setting and an accessory port for extension arms. The head is compatible with all tripod legs using a 3/8"" male thread post and includes a 3/8"" to ¼ 20"" thread adapter. The kit also includes a 3-way pan head with separate controls for tilt, pan, and horizon leveling, providing precise adjustments for accurate framing. The head is designed to be versatile for both stills and video cameras, offering video-style friction control. The product comes with a 3-year limited USA warranty. The SKU for this kit is R-613-375, and it requires shipping and is taxable.",['SKU: R-613-375'],"['Video Production', 'Photography']","['Versatility', 'Enhancing Photography Stability', 'Versatility In Photography And Video Production']",[],['Aluminum'],[],[],[],[],[],[],[],"['Bubble level on the main collar', 'Lever locks', 'Video-style friction control', 'Reversible column', '3/8\\"" to 40\\"" thread adapter', 'Accessory port for extension arms', 'Collar and leg-joint system']",[],"[{'amount': 149.99000549316406, 'currency': 'USD', 'type': 'min'}, {'amount': 189.9499969482422, 'currency': 'USD', 'type': 'max'}]","[{'dimension': 'Height', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '79'}, {'dimension': 'Weight', 'qualitative': False, 'type': 'exact', 'unit': 'lbs', 'value': '5.2'}]",[],[],[],[],[]
Scuba and snorkeling gear,scubalamp.com,https://scubalamp.com/search/?&Keyword=red+filter+for+supe&Sort=2d,RD90v2 Diving Light,,,"The ""Diving Light"" is an LED diving light designed for use in recreational diving, technical diving, and blackwater searching. It delivers 2000 lumens of light for a duration of 3 hours.",[],['Diving'],"['tech diving', 'recreational diving', 'blackwater searching']",[],[],[],[],[],[],[],[],[],"['2000 lumens', '3 hours']",[],"[{'amount': 98.0, 'currency': 'USD', 'type': 'exact'}]",[],[],[],[],[],[]
Interior vehicle lighting,autoledtech.com,https://www.autoledtech.com/products/rgb-led-interior-dash-trim-lighting-tube-kit?pr_prod_strat=pinned&pr_rec_id=56f93df2e&pr_rec_pid=4102488326201&pr_ref_pid=7717697061122&pr_seq=uniform,RGB LED Color-Changing Interior Dash Trim Ambient Lighting Kit Plug & Play,,,"The RGB LED Color-Changing Interior Dash Trim Ambient Lighting Kit Plug & Play is a versatile and innovative lighting solution designed to enhance the interior aesthetics of any vehicle. Priced at $99.99 USD, this kit includes six high-power LED outputs, a Bluetooth controller, a handheld controller, 26.3 feet of trim-able clear light tube, a trim panel wedge tool, end caps for tubing, PVC tape, and installation tools. The kit is compatible with any vehicle, provided the interior trim panels have gaps where the lighting tubing can be inserted. The lighting can be controlled via a Bluetooth app or a handheld remote, offering over 16 million color options, including solid colors, fade, and strobe patterns. The kit supports two powering methods: a 12V hardwire and a 12V AC adapter plug, allowing for flexible installation options. The tubing is designed to be cut and divided to fit all trim panels, and the installation process involves wedging thin tabs in between the panels and connecting the light sources to the tubing. The product is designed for easy installation and removal, with no need for adhesive, and can be switched on or off at any time via the mobile app. The tubing appears completely clear and transparent when off, blending seamlessly with the interior. The kit is packaged to ensure all necessary components are included and is available for purchase with various payment options, including ShopPay. The product is currently backordered but will ship as soon as it is back in stock. Shipping costs vary based on the order value, with free shipping available for orders over $250 within the US. The kit is designed to be user-friendly, with detailed installation instructions available for reference.",[],['Automotive'],['interior vehicle lighting customization'],[],[],[],[],['Turnkey'],"['Control via Bluetooth app or handheld remote', 'Supports two powering methods: 12V hardwire and 12V AC adapter plug']",[],[],[],"['Free Shipping for Orders Over $250 within the US', 'Detailed Installation Instructions Available', 'Installation Tools Included', 'No Adhesive Required', 'Backordered, Ships as Soon as Back in Stock']",[],"[{'amount': 99.98999786376953, 'currency': 'USD', 'type': 'exact'}]",[],[],[],[],[],"[{'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'high'}]"
Other,no1flag.com,https://www.no1flag.com/products,RI Rhode Island Flag,,,"The ""State Flag"" is a state flag representing Rhode Island.",[],"['Retail', 'Government', 'Public Spaces']","['Decorative Purposes', 'Representation Of State']",[],[],[],['US'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Autoclave and sterilizer equipment and accessories,centurionservice.com,https://bid.centurionservice.com/lot-details/index/catalog/570/lot/761455/RITTER-M11-ULTRACLAVE-TABLETOP-STERILIZER?url=%2Fauctions%2Fcatalog%2Fid%2F570%3Fpage%3D45%26view%3Dlist,RITTER M11 Ultraclove Tabletop Sterilizer,RITTER,,"The RITTER M11 Ultraclove Tabletop Sterilizer is a specialized medical device designed for the sterilization of medical instruments and equipment. This sterilizer falls under the Central Supply category and is intended for use in medical and hospital settings where sterilization is critical. The device is designed to provide a high level of sterilization efficiency, ensuring that medical items are free from harmful microorganisms. The RITTER M11 model is known for its robust construction and reliable performance, making it a valuable asset in any medical facility. The sterilizer is likely to be used in environments where hygiene and sterilization standards are stringent, such as hospitals, clinics, and other healthcare facilities. The device is manufactured with high-quality materials to ensure durability and long-term use. It is designed to be user-friendly, with easy-to-use controls and a user-friendly interface. The sterilizer is also likely to be energy-efficient, contributing to reduced operational costs. The RITTER M11 Ultraclove Tabletop Sterilizer is an essential tool for maintaining the sterility of medical instruments and equipment, ensuring that they are safe for use and reducing the risk of infection.",[],['Healthcare'],['Sterilization Of Medical Instruments And Equipment'],[],[],[],[],['Custom-Built'],[],[],[],[],"['User-Friendly Interface', 'Energy-Efficient', 'Robust Construction']",[],[],[],[],[],"[{'exact_percentage': None, 'max_percentage': None, 'min_percentage': None, 'qualitative': 'high', 'standard_label': None}]",[],[]
Industrial refrigerators,fisherpaykel.com,https://www.fisherpaykel.com/on/demandware.store/Sites-FisherPaykelEU-Site/en_DE/Search-ShowAjax?cgid=allRefrigeration&prefn1=configuration&prefv1=American%20Style&prefn2=consumerGroup&prefv2=CG_RETAIL%7cCG_BOTH&prefn3=series&prefv3=Series%207%7cSeries%209,RS90AU3 Integrated French Door Refrigerator Freezer,,,"The ""Integrated French Door Refrigerator Freezer"" is an integrated refrigerator and freezer designed to provide a large storage capacity of 476L. It features a bottom freezer and is panel ready, making it suitable for kitchen installations. This model is available in custom or stainless steel finishes, enhancing both functionality and aesthetic appeal.",[],['Home Appliances'],['Food Storage'],[],['Stainless Steel'],[],[],[],['Available in custom or stainless steel finishes'],[],[],[],"['Series 7 and Series 9 collection', 'Available in stainless steel finishes', 'Panel ready']",[],[],"[{'dimension': 'Volume', 'qualitative': False, 'type': 'exact', 'unit': 'L', 'value': '476'}]",[],[],[],[],[]
Compressors,ranecommercial.com,https://www.ranecommercial.com/legacy.php,Rane C4,Rane,,"""The 'Compressor' is a discontinued compressor model from Rane, originally released in 2004. It comes with detailed data sheets, manuals, and schematics for various versions and configurations.""",[],"['Audio', 'Manufacturing', 'Video']",['compression'],[],[],[],[],[],[],[],[],[],"['Includes data sheets, manuals, and schematics', 'Includes detailed data sheets, manuals, and schematics', 'Discontinued']",[],[],[],[],[],[],[],[]
Electronic and communication measuring and testing instruments,fiberopticparts.com,"https://fiberopticparts.com/test-equipment-reconditioned?yith_wcan=1&product_cat=spectrum-analyzers,oscilloscopes,attenuators",Reconditioned Test Equipment,,True,"Reconditioned test equipment is a specialized category of tools designed for various testing applications, particularly in the telecommunications and fiber optic industries. This category includes a wide range of devices such as spectrum analyzers, oscilloscopes, and attenuators, which are essential for diagnosing, testing, and analyzing the performance of communication systems. The reconditioned test equipment is refurbished to meet or exceed original equipment standards, ensuring reliability and performance. This process involves cleaning, testing, and possibly reassembling the equipment to restore it to its original condition. The reconditioned test equipment is suitable for use in various industries, including telecommunications, network infrastructure, and avionics. It is particularly useful for field operations, where equipment reliability is critical. The reconditioned test equipment is available in different models and brands, including Anritsu SiteMaster, Avionics Test Equipment, Cable and Antenna Analyzers, Communication Test Sets, Frequency Counters, Function Generators, Fusion Splicers, Mobile Phone Testers, Multimeters, Network Analyzers, Network Equipment, Oscilloscopes, OTDRs, PIM Testers, Power Analyzers, Power Supplies, RF and Microwave Equipment, Service Monitors, Signal Analyzers, and Signal Generators. Each type of reconditioned test equipment is tailored to specific testing needs, ensuring that users can find the right tool for their requirements. The reconditioned test equipment is an eco-friendly option, as it reduces waste and extends the lifespan of the equipment. It is also cost-effective, offering a balance between new and refurbished equipment. The reconditioned test equipment is available for purchase through various payment methods, ensuring convenience for buyers. This category of equipment is essential for maintaining the performance and reliability of communication systems, making it a valuable investment for businesses looking to optimize their testing processes.",[],"['Fiber Optic', 'Electronics', 'Aerospace', 'Network Infrastructure', 'Telecommunications', 'Avionics']","['testing applications', 'testing and analyzing communication systems']",[],[],[],[],['Turnkey'],"['Tailored to specific testing needs', 'Customized to meet specific testing requirements']",[],[],[],"['Restored to original specifications', 'Refurbished to original condition', 'Includes replacing worn components', 'Reprogramming', 'Extends the lifespan of the equipment', 'Reduces waste', 'Thorough cleaning']",[],[],[],[],[],[],[],[]
Coffee and tea,californiacoffee.com,https://www.californiacoffee.com/collections/all/pistachio+cantaloupe+jasmine,Red Grapes Coffee,,,"""Coffee"" is a specialty coffee blend that features the sweet and slightly tart flavor of red grapes, making it ideal for those who appreciate fruity notes in their coffee.",[],['Food & Beverage'],"['Coffee Brewing', 'coffee brewing']",[],[],['Red Grapes'],[],[],[],[],['Solid'],[],"['flavor of red grapes', 'fruity notes', 'sweet and slightly tart flavor', 'red grapes flavor']",[],[],[],[],[],[],[],[]
Color compounds and dispersions,sumiranmasterbatch.co.in,https://www.sumiranmasterbatch.co.in/white-black-masterbatch.html,Red Masterbatches 7000,Sumiran Masterbatch Private Limited,,"Red Masterbatches 7000 is a specialized masterbatch product manufactured by Sumiran Masterbatch Private Limited. It is designed to provide vibrant red color to various plastic products. The company has been manufacturing this product since 2005 in Ahmedabad, Gujarat, India.",[],['Manufacturing'],['Coloring Plastic Products'],[],[],[],['IN'],[],[],[],[],[],[],[],[],[],"[{'original': 'Red', 'simple': 'Red'}]",[],[],[],[]
"Faucet and shower heads, jets and parts and accessories|Pipe reducing couplings",akathermhdpe.com,https://akathermhdpe.com/en/catalog/wall-lavatory/clamp-liners/pipes/groups/p+p+p+view,Reducers for Wall Lavatories,,,"""Reducers for Wall Lavatories"" are designed to facilitate connections and ensure efficient water distribution in wall lavatory settings.",[],"['Home Appliances', 'Construction']","['water distribution in wall lavatories', 'Wall Lavatory Installation']",[],['HDPE'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Pipe tees,plumbmaster.com,https://www.plumbmaster.com/search?q=wolverine+brass%3Arelevance%3AmanufacturerName%3AWolverine+Brass%3AType%3AWaterfall%3AType%3AEconomy,Reducing Tee,,,"A reducing tee is a plumbing component used to connect pipes or fittings at a 90-degree angle. Made from high-quality brass, these reducing tees are designed to provide a secure and leak-proof connection. They are available in various sizes and configurations, including 105. The fittings are engineered to withstand high pressure and are suitable for both residential and commercial plumbing systems. These reducing tees are essential for maintaining proper water flow and preventing leaks in plumbing systems.",[],['Plumbing'],"['Pipe Connection', 'Connecting Pipes Of Different Diameters', 'Connecting Pipes']",[],['Brass'],[],[],[],[],[],[],[],"['High-quality brass construction', '45-degree angle change', 'Secure and leak-proof connection', 'durable brass construction']",[],[],[],[],[],[],"[{'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'high'}]",[]
Temperature and heat measuring instruments,apothecaryproducts.com,https://shop.apothecaryproducts.com/products/refrigerator-thermometer?_pos=1&_sid=5bb1f4f8a&_ss=r,Refrigerator Thermometer,Apothecary Products,,"The Apothecary Products Refrigerator Thermometer is a versatile and essential tool designed for use in refrigerators and freezers. This thermometer features both Fahrenheit and Celsius scales, making it suitable for a wide range of temperature measurements. It is non-toxic and shatterproof, ensuring safety and durability. The thermometer is equipped with stainless steel clips, allowing it to be easily hung in the refrigerator or freezer. It operates within a temperature range of -40 to 80 degrees Fahrenheit, providing precise readings for various storage needs. The product is identified by part number 29790 and is available for purchase at a price of $26.82. The thermometer is part of the Apothecary Products brand, known for its reliable and safe medical and pharmacy supplies. This thermometer is ideal for anyone needing a dependable temperature monitoring device in their refrigeration setup.",['Part_Number: 29790'],"['Home Appliances', 'Pharmacy', 'Healthcare']",['temperature measurement in refrigerators and freezers'],[],['Stainless Steel'],[],[],[],[],[],[],[],"['Stainless steel clips', 'Equipped with stainless steel clips', 'Shatterproof', 'Non-toxic']",[],"[{'amount': 26.81999969482422, 'currency': 'USD', 'type': 'exact'}]",[],[],[],[],[],[]
Heating equipment and parts and accessories,cosmo-energy.in,https://cosmo-energy.in/aboutus.html,Regenerative Burners,Cosmo Powertech Pvt. Ltd.,,"""Regenerative Burners"" from Cosmo Powertech Pvt. Ltd. are designed for high-temperature applications, ensuring efficient combustion and heat transfer. These burners are specifically suitable for various industrial heating applications, including use in combined heat and power systems.",[],['Industrial'],"['Heat Transfer', 'Combustion', 'Power Generation', 'Heating']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Medical documentation products,briggshealthcare.com,"https://www.briggshealthcare.com/products/documentation/register-books/custitemstyle_matrix/Admission-Discharge,Coronary-Care,Surgery",Register of Operation,,,"""The 'Register of Operation' is a tool designed for recording operation records, specifically tailored for use in Coronary Care, ICU, Operation, and Recovery Room settings.""",[],['Healthcare'],"['operation records', 'admission and discharge processes', 'documenting operations']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Locks and security hardware and accessories,visionxp.in,https://www.visionxp.in/page/cctv-security-ip-camera-manufacturers-in-nagapattinam,Remote Door Lock,,,"""The 'Remote Door Lock' manufactured by VisionXP in Nagapattinam, Tamil Nadu, is designed for security and public safety. This lock is integrated into surveillance systems, enhancing security measures.""",[],['Security'],['public safety'],[],[],[],['IN'],[],[],[],[],[],"['public safety focus', 'advanced technology for public safety', 'advanced security features']",[],[],[],[],[],[],[],[]
Tool attachments and accessories|Transportation repair parts kits,greenbroz.com,https://shop.greenbroz.com/collections/all/model-g-parts+215-dry-trimmer-parts+resin-clear+model-m-dry-trimmer-parts,Replacement Part,,,"""Replacement Part"" is designed to ensure the continued performance and maintenance of various models by providing necessary replacements.",[],"['Home Appliances', 'Automotive', 'Construction']","['Replacement For Dry Trimmer', 'Replacement Part For Dry Trimmer']",[],[],[],[],[],['Replacement parts for various models'],[],[],[],[],[],[],[],[],[],[],[],[]
Cleaning and disinfecting solutions,diversey.com,https://diversey.com/en/product-catalogue?f%5B0%5D=domain_access%3Adiversey_com&f%5B1%5D=product_family%3A909&f%5B2%5D=product_family%3A2387,Rescue Cleaning Products,Diversey,,"Rescue is a cleaning product line under the Diversey brand, designed for various cleaning applications. It is part of the Diversey product family.",[],['Cleaning'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Resins|Sorting machines,greenbroz.com,https://shop.greenbroz.com/collections/all/model-g-parts+215-dry-trimmer-parts+frequently-purchased+m-lite-dry-trimmer-parts,Resin Clear,,,"""Replacement Parts for Precision Sorter"" are replacement parts designed for the Precision Sorter, available for purchase to ensure continued functionality of the sorter.",[],"['Manufacturing', 'Cannabis Processing']","['Replacement For Precision Sorter', 'cannabis processing and maintenance', 'Maintaining Machine Performance']",[],['Resin'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Cleaning and disinfecting solutions,diversey.com,https://diversey.com/en/product-catalogue?f%5B0%5D=domain_access%3Adiversey_com&f%5B1%5D=product_family%3A880&f%5B2%5D=product_family%3A1569,Resolve,Resolve,,"""Cleaning and Maintenance Solutions"" includes a range of cleaning and maintenance solutions under the Resolve brand.",[],"['Maintenance', 'Cleaning']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Respiratory humidity and aerosol therapy products,gehealthcare.ca,https://shop.gehealthcare.ca/gehcstorefront/support/repair-center,Respiratory Care Equipment,,,"""Respiratory Care Equipment"" is crucial for patient respiratory support and monitoring in medical settings.",[],['Healthcare'],"['monitoring', 'respiratory management', 'patient respiratory support']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Weight measuring instruments,umatechscales.wordpress.com,https://umatechscales.wordpress.com/tag/industrial-floor-scales/,Retail Weighing Scales,,,"""Retail Weighing Scales"" are designed for use in retail environments, offering accurate and reliable measurements to support operational needs. These scales come in various models to meet different retail requirements, ensuring high accuracy and ease of use.",[],['Retail'],['Weight Measurement'],[],[],[],[],[],['Available in various models to suit different retail needs'],[],[],[],[],[],[],[],[],[],[],[],[]
Braking systems and components,brakeproducts.com,https://www.brakeproducts.com/Products/Reuland/?cart_id=cCtmNd2E91B8U43fFB13qluA9bgYcxeB&user_id=,Reuland Brake,,,"A brake with part number REU-OADA-C16Z10-B770, featuring a 230 Volt, 3 Ph, 6 FT LB, 1.125 inch diameter hub, Class 'B' insulation, and a 3/14 bore. It is priced at $868.32 each.",['Part_Number: REU-OADA-C16Z10-B770'],['Automotive'],[],[],[],[],[],[],[],[],[],[],"['6 FT LB', '3/14 bore', '230 Volt', ""Class 'B' Insulation"", '1.125 inch diameter hub', ""Class 'B' insulation"", '3 Ph']",[],"[{'amount': 868.3200073242188, 'currency': 'USD', 'type': 'exact'}]","[{'dimension': 'Diameter', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '1.125'}]",[],[],[],[],[]
Springs,brakeproducts.com,https://www.brakeproducts.com/Products/Reuland/?cart_id=ZZbA3isMXuGaroLdmJACIB7wPNJ5cHdx&user_id=,Reuland Spring,,,"A tension - torque spring for a Type""C"" brake. Part number: REU-OBCA-H76N09-02. 150 FT LB. NSN: 5360-01-312-9909. Normally a stock item. Dated: 04-2021. (1LB) H 4"" L 6"" W 4"" Box. Price: $16.20 each.","['Part_Number: REU-OBCA-H76N09-02', 'NSN: 5360-01-312-9909', 'Part_Number: REU-94203']",['Automotive'],['Brake System'],[],[],[],[],[],[],[],[],[],"['Type:C brake compatible', '150 FT LB torque rating', 'Tension-torque spring', ""Type'C' brake application""]",[],"[{'amount': 16.200000762939453, 'currency': 'USD', 'type': 'exact'}]","[{'dimension': 'Height', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '4'}, {'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '6'}, {'dimension': 'Width', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '4'}]",[],[],[],[],[]
Cleaning rags and cloths and wipes,pimpamshop.co.uk,https://pimpamshop.co.uk/pages/about-us,Reusable Baby Wipes,Pim Pam,True,"""Reusable Baby Wipes"" offered by Pim Pam are designed to provide an eco-friendly alternative to disposable wipes, suitable for use in baby care.",[],['Baby Care'],"['baby cleaning', 'sustainable parenting']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Bottles,medela.com,https://www.medela.com/en-us/breastfeeding-pumping/products/pumps,Reusable Bottles,Medela,,"""Reusable Bottles"" are designed for hands-free operation, enhancing convenience and ease of use, particularly for mothers. These bottles are compatible with both manual and electric devices.",[],"['Consumer Goods', 'Healthcare']","['home use', 'hospital use', 'used with breast pumps', 'hands-free operation', 'manual and electric use']",[],[],[],[],[],[],[],[],[],"['suitable for both manual and electric use', 'reusable', 'durable', 'hands-free operation']",[],[],[],[],[],[],[],[]
Cleaning and disinfecting solutions,diversey.com,https://diversey.com/en/product-catalogue?f%5B0%5D=domain_access%3Adiversey_com&f%5B1%5D=product_family%3A909&f%5B2%5D=product_family%3A1740,Revive Cleaning Products,Diversey,,"Revive is a product line under the Diversey brand, offering a variety of cleaning solutions. It includes products designed for different cleaning needs and surfaces.",[],['Cleaning'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Ladders and scaffolding,eladders.com,https://www.eladders.com/catalogsearch/result/index/?q=step+ladder+10&visibility=4&weight=4%2C10,Rhino 375™ Platform Ladder 6',,,"The Rhino 375™ Platform Ladder 6' is a versatile and durable platform ladder designed for ease of use and cost-effectiveness. It is available at a special price of $321.00, reduced from the regular price of $357.00.",[],"['Maintenance', 'Cleaning']",[],[],[],[],[],[],[],[],[],[],[],[],"[{'amount': 321.0, 'currency': 'USD', 'type': 'min'}, {'amount': 357.0, 'currency': 'USD', 'type': 'max'}, {'amount': 482.0, 'currency': 'USD', 'type': 'min'}, {'amount': 536.0, 'currency': 'USD', 'type': 'max'}]","[{'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'ft', 'value': '6'}, {'dimension': 'Height', 'qualitative': False, 'type': 'exact', 'unit': 'ft', 'value': '6'}]",[],[],[],[],[]
Candlemaking,thereallygoodcandlecompany.com,https://www.thereallygoodcandlecompany.com/product-page/classic,Rhubarb & Rose Candle,TRGCC,,"The Rhubarb & Rose Candle by TRGCC is a classic fragrance candle that combines the delicate flavors of Yorkshire rhubarb leaf with the softness of tea rose, making it a popular choice among fruity and floral fragrance enthusiasts. The top notes of the candle feature rhubarb and pineapple, while the mid notes are dominated by tea rose. The base notes include musk, woody, and dry fruits, creating a complex and inviting scent profile. This candle is available in various sizes, which can be selected according to preference. For safety, it is recommended to place the candle on a heat-resistant surface and to keep the wick trimmed to 5mm to avoid an enlarged or smoking flame. The candle should be burned until a full melt pool is achieved, with a maximum burn time of 4 hours. It is important to extinguish the candle when 5mm (1/4') of the wax remains and to keep it away from any flammable materials, draughts, or sources of heat such as fires, TVs, or radiators. The candle should also be kept free from debris like used matches or wick trimmings and should not be moved while alight or while the wax is molten. Additionally, it is advised to keep the candle out of reach of children and pets. This candle is designed to provide a long-lasting and enjoyable fragrance experience, making it a perfect addition to any home.",[],['Home Decor'],['home fragrance'],[],[],"['Rose', 'Dry Fruits', 'Tea Rose', 'Rhubarb', 'Pineapple', 'Woody', 'Musk']",[],[],[],[],['Solid'],[],"['Maximum burn time: 4 hours', 'Should not be sprayed near a naked flame', 'Mid notes: tea rose', 'Top notes: rhubarb and pineapple', 'Base notes: musk, woody, dry fruits']",[],[],"[{'dimension': 'Height', 'qualitative': False, 'type': 'exact', 'unit': 'mm', 'value': '5'}]","[{'original': 'Rhubarb', 'simple': 'Red'}, {'original': 'Rose', 'simple': 'Pink'}]",[],[],[],[]
Conveyors and accessories,greenbroz.com,https://shop.greenbroz.com/collections/all/model-m-dry-trimmer-parts+precision-sorter-parts+alchemist-215-parts,Rise Conveyor,,,"The Rise Conveyor, a process conveyor designed to enhance efficiency and speed in cannabis processing.",[],"['Manufacturing', 'Agriculture', 'Cannabis Processing']","['material processing', 'cannabis processing']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Tobacco product accessories and supplies,thepuffbrands.com,https://thepuffbrands.com/products/ritual-smoke-blizzard-glycerin-spoons-blue?pr_prod_strat=e5_desc&pr_rec_id=5f5230363&pr_rec_pid=7995285602545&pr_ref_pid=7995286847729&pr_seq=uniform,Ritual Smoke - Blizzard Glycerin Spoons - POP Display of 8,Ritual by High Society,,"The Ritual Smoke Blizzard Glycerin Spoons - POP Display of 8 is a premium smoking accessory designed to enhance the smoking experience. This product is part of the Ritual by High Society collection, which celebrates the various rituals associated with legal herb consumption. The spoons are crafted from high-quality borosilicate glass, ensuring durability and a premium feel. Each spoon features a coil glycerin cooling chamber that, when placed in the refrigerator, becomes ice-cold, providing a refreshing and cooling experience. The spiral coil design not only enhances the flavor by creating more air paths but also ensures smoother toks, making it easier to enjoy the perfect smoking experience. The product is packaged in an 8-piece POP display, making it an ideal choice for retail or personal use. The dimensions of each spoon are 4.75 inches, and the entire display set measures 8 inches, making it a substantial and visually appealing addition to any collection. The Ritual Smoke Blizzard Glycerin Spoons are designed to elevate the consumption experience by allowing users to tailor their smoking ritual to their specific needs without compromise.",[],"['Healthcare', 'Retail']","['Smoking Accessory', 'smoking accessory']",[],['Borosilicate Glass'],[],[],[],[],[],[],[],"['Spiral coil design', 'Spiral Coil Design', 'Longer Air Path', 'Refrigerator placement for cooling', 'Coil glycerin cooling chamber', 'Coil Glycerin Cooling Chamber']",[],[],"[{'dimension': 'Diameter', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '4.75'}]","[{'original': 'Blizzard', 'simple': 'Gray'}]",[],[],[],[]
